# radius	radprofrcnorm
2.3701	0.015969794
2.3787501	0.01574699
2.3874002	0.015536154
2.39605	0.015311348
2.4047	0.015067156
2.4133501	0.014839737
2.4220002	0.014641624
2.43065	0.014448613
2.4393001	0.014260285
2.4479501	0.014078825
2.4566	0.013903607
2.46525	0.01372172
2.4739001	0.013542796
2.4825501	0.013396482
2.4912	0.013234369
2.49985	0.013049047
2.5085001	0.012876599
2.5171502	0.012716723
2.5258	0.012569422
2.5344501	0.012436164
2.5431001	0.012291357
2.5517499	0.012145493
2.5604	0.012003221
2.5690501	0.011863157
2.5777001	0.011730764
2.58635	0.011583223
2.595	0.011440011
2.6036501	0.011299733
2.6123002	0.011155225
2.62095	0.011003307
2.6296	0.010845657
2.6382501	0.01071834
2.6469002	0.010586191
2.65555	0.010419789
2.6642001	0.01026412
2.6728501	0.010118952
2.6815	0.0099639101
2.69015	0.0098190783
2.6988001	0.0096628675
2.7074502	0.0095032398
2.7161	0.0093586491
2.72475	0.0092063658
2.7334001	0.0090511516
2.7420502	0.0088647474
2.7507	0.0086872168
2.7593501	0.0085123163
2.7680001	0.0083220918
2.77665	0.0081369709
2.7853	0.0079472484
2.7939501	0.0077701816
2.8026001	0.0075891903
2.81125	0.0073958128
2.8199	0.0071928599
2.8285501	0.0069862427
2.8372002	0.0067788814
2.84585	0.0065980889
2.8545001	0.0064259022
2.8631501	0.0062445309
2.8718002	0.0060751415
2.88045	0.0058903848
2.8891001	0.005710064
2.8977501	0.0055244113
2.9064	0.0053448086
2.91505	0.0051690666
2.9237001	0.0049708239
2.9323502	0.004769308
2.941	0.0045974087
2.94965	0.004444615
2.9583001	0.0042819516
2.9669502	0.0041077626
2.9756	0.0039556068
2.9842501	0.0038079887
2.9929001	0.0036273701
3.00155	0.0034651309
3.0102	0.0033204095
3.0188501	0.003168765
3.0275002	0.0030383677
3.03615	0.0029013688
3.0448	0.0027608459
3.0534501	0.0026438648
3.0621002	0.0025206122
3.07075	0.0024138626
3.0794001	0.0023025617
3.0880501	0.0021864872
3.0967002	0.0020853635
3.10535	0.0020129592
3.1140001	0.0019456298
3.1226501	0.0018683362
3.1313	0.001792778
3.13995	0.0017517948
3.1486001	0.0016885116
3.1572502	0.0015948527
3.1659	0.0015005395
3.1745501	0.0014079019
3.1832001	0.0013396697
3.1918502	0.0012847914
3.2005	0.0012215576
3.2091501	0.0011793466
3.2178001	0.0011168454
3.22645	0.0010676677
3.2351	0.0010233503
3.2437501	0.00098270667
3.2524002	0.00095792819
3.26105	0.00094402459
3.2697001	0.00092726224
3.2783501	0.00089498516
3.2870002	0.00085182313
3.29565	0.00083375641
3.3043001	0.00082474051
3.3129501	0.00079970795
3.3216	0.00077069737
3.33025	0.00075048476
3.3389001	0.00072479527
3.3475502	0.00070238957
3.3562	0.00066983775
3.36485	0.00066082092
3.3735001	0.00064335921
3.3821502	0.00063325348
3.3908	0.0006327093
3.3994501	0.00062536506
3.4081001	0.00063325802
3.4167502	0.00063329889
3.4254	0.00062928279
3.4340501	0.00061043474
3.4427001	0.00058144314
3.45135	0.00055819802
3.46	0.00055143633
3.4686501	0.00054213486
3.4773002	0.00053581916
3.48595	0.0005517088
3.4946001	0.0005473512
3.5032501	0.00052967772
3.5119002	0.00049910258
3.52055	0.00049116265
3.5292001	0.00048793171
3.5378501	0.00048276203
3.5465	0.00048478899
3.55515	0.00048561106
3.5638001	0.00049663166
3.5724502	0.00049922708
3.5811	0.00050707592
3.5897501	0.00051654171
3.5984001	0.00050798897
3.6070502	0.00048152934
3.6157	0.00048319375
3.6243501	0.00048443087
3.6330001	0.00045587908
3.6416502	0.0004406088
3.6503	0.00044096436
3.6589501	0.00043739055
3.6676002	0.00042580909
3.67625	0.00041710655
3.6849	0.00041788985
3.6935501	0.00022455107
3.7022002	0.00022320288
3.71085	0.00022102203
3.7195001	0.00021893688
3.7281501	0.00021927466
3.7368002	0.0002312335
3.74545	0.00025411483
3.7541001	0.00025865386
3.7627501	0.00024042359
3.7714	0.0002385595
3.78005	0.00024568199
3.7887001	0.00023118698
3.7973502	0.00020904232
3.806	0.00019919488
3.8146501	0.00019928455
3.8233001	0.00019683791
3.8319502	0.0001928469
3.8406	0.00019081442
3.8492501	0.00019731416
3.8579001	0
